"vuln_id","url","package","version_local","severity","grype","osv","sum","sortcol"
"GHSA-c2qf-rxjj-qqgw","https://osv.dev/GHSA-c2qf-rxjj-qqgw","semver","1.0.23","","0","1","1","2024A1723075200"
"GHSA-wrvr-8mpx-r7pp","https://osv.dev/GHSA-wrvr-8mpx-r7pp","mime","0.3.17","","0","1","1","2023A1694476800"
"MAL-2023-8532","https://osv.dev/MAL-2023-8532","jobserver","0.1.32","","0","1","1","2023A0000008532"
"GHSA-qgmg-gppg-76g5","https://osv.dev/GHSA-qgmg-gppg-76g5","validator","0.19.0","","0","1","1","2021A1635897600"
"GHSA-f5w6-r7rg-mcgq","https://osv.dev/GHSA-f5w6-r7rg-mcgq","validator","0.19.0","","0","1","1","2021A1632355200"
"GHSA-x6fg-f45m-jf5q","https://osv.dev/GHSA-x6fg-f45m-jf5q","semver","1.0.23","","0","1","1","2021A1632182400"
"GHSA-rh6c-q938-3r9q","https://osv.dev/GHSA-rh6c-q938-3r9q","validator","0.19.0","","0","1","1","2021A1631836800"
"GHSA-q4qq-fm7q-cwp5","https://osv.dev/GHSA-q4qq-fm7q-cwp5","validator","0.19.0","","0","1","1","2021A1631750400"
"GHSA-qpjp-7rp2-9c3f","https://osv.dev/GHSA-qpjp-7rp2-9c3f","validator","0.19.0","","0","1","1","2021A1631750400"
"GHSA-79mx-88w7-8f7q","https://osv.dev/GHSA-79mx-88w7-8f7q","validator","0.19.0","","0","1","1","2021A1630540800"
"GHSA-552w-rqg8-gxxm","https://osv.dev/GHSA-552w-rqg8-gxxm","validator","0.19.0","","0","1","1","2021A1630454400"
"RUSTSEC-2021-0141","https://osv.dev/RUSTSEC-2021-0141","dotenv","0.15.0","","0","1","1","2021A0000000141"
